model,cv_acc_mean,cv_acc_std,cv_f1_mean,cv_f1_std,test_acc,test_f1_macro
random_forest,0.9638146167557933,0.012215216897691119,0.9542556517556517,0.010608094846685026,1.0,1.0
knn,0.9336898395721924,0.02278295231182955,0.9207917082917083,0.02404362060797375,0.9761904761904762,0.9760683760683762
gaussian_nb,0.9096256684491978,0.05750590399473824,0.8999415399415399,0.058916166901938925,0.9285714285714286,0.9219017094017095
