id_restaurant,place_name,address,latitude,longitude,cluster
32,Nasi Timbel Pangandaran,"Jl. A. Yani No.823, Padasuka, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat 40125, Indonesia",-6.904533,107.65069,3
33,Batagor KPK,"Jl. Babakan Tarogong No.125, Suka Asih, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat 40232, Indonesia",-6.932149,107.591644,3
34,Batagor Burangrang,"Jl. Burangrang. 7 Seberang Sekolah BPI Burangrang, Malabar, Kec. Lengkong, Kota Bandung, Jawa Barat 40262, Indonesia",-6.923671,107.620195,3
35,Batagor Bandung haji iman tahu,"Jl. Babakan Irigasi Gg. AMD VIII, Babakan Tarogong, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat 40232, Indonesia",-6.929882,107.593526,3
36,Warung Karedok,"Mulyasari, Pataruman, Banjar City, West Java 46335, Indonesia",-7.369956,108.584101,3
37,Karedok Lotek Mmah Candra,"Btn griya kondang lestari blok D.3 No.11 rt/rw 023/007, desa, Cikancana, Kec. Gekbrong, Kabupaten Cianjur, Jawa Barat 43261, Indonesia",-6.884666,107.080644,3
38,Karedok,"Sukaratu, Tasikmalaya Regency, West Java 46415, Indonesia",-7.27598,108.143231,3
39,Nasi Liwet Cisitu,"Jl. Cisitu Lama No.46, Dago, Kecamatan Coblong, Kota Bandung, Jawa Barat 40135, Indonesia",-6.880517,107.612017,3
40,Warung Nasi Liwet Saung Babakan Cinta,"Jl. Ciloa No.km 6, Pasirhalang, Kec. Cisarua, Kabupaten Bandung Barat, Jawa Barat 40551, Indonesia",-6.824384,107.528934,3
41,Nasi Liwet Solo,"Jl. Sumber Mekar No.35-5, Babakan, Kec. Babakan Ciparay, Kota Bandung, Jawa Barat 40222, Indonesia",-6.933547,107.575851,3
42,bakakak ayam kampung Abah enyeng,"Jl. Cagak No.20, Jalancagak, Kec. Kasomalang, Kabupaten Subang, Jawa Barat 41281, Indonesia",-6.684877,107.707128,3
43,Bakakak Ayam Kampung Pak Caban,"Jl. Mandor Senan, Cipenjo, Kec. Cileungsi, Kabupaten Bogor, Jawa Barat 16820, Indonesia",-6.393967,106.988618,1
44,"Warung Bakakak Ayam Kampung ""Bilqis"" Ma Een Cibodas","Cibodas, Kertamekar, Kec. Tanjungkerta, Kabupaten Sumedang, Jawa Barat 45354, Indonesia",-6.748031,107.892493,3
45,Mie Kocok Bandung Sahabat,"Jl. Dr. Djunjunan No.45, Pamoyanan, Kec. Cicendo, Kota Bandung, Jawa Barat 40173, Indonesia",-6.89761,107.592396,3
46,Mie Kocok Kebun Jukut,"Jl. Kb. Jukut No.3, Babakan Ciamis, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40117",-6.914374,107.60509,3
47,Mie Kocok Pak Kumis,"Jl. Buah Batu No.165, Cijagra, Kec. Lengkong, Kota Bandung, Jawa Barat 40265, Indonesia",-6.944116,107.629688,3
48,Seblak Sultan,"Jl. Sultan Agung No.7, Citarum, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40115, Indonesia",-6.904862,107.611552,3
49,Seblak Lumpia Mamah Fikri,"Jl. Griya Bandung Indah No.5 Blok F17, Buahbatu, Kec. Bojongsoang, Kabupaten Bandung, Jawa Barat 40287, Indonesia",-7.801186,107.67078,2
50,Seblak Bandung Si Gacor,"Jl. M. Nasir, Cilodong, Kec. Cilodong, Kota Depok, Jawa Barat 16414, Indonesia",-6.431238,106.847806,1
51,Tahu Petis Semarang,"Jl. Dr. Rajiman No.408, Bumi, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57148, Indonesia",-7.571139,110.803904,2
52,Tahu Petis ECO Asli Semarang,"Jl. Yos Sudarso, Dawung, Magelang Tengah, Kota Magelang, Jawa Tengah 57155, Indonesia",-7.587563,110.818328,2
